Datasets,num_shots,Normal_acc,Calibrated_acc
sst2,0,0.5733333333333334,0.6266666666666667
sst2,2,0.67,0.6
sst2,4,0.49666666666666665,0.49666666666666665
sst2,6,0.62,0.8066666666666666
sst2,8,0.5666666666666667,0.79
agnews,0,0.3,0.5866666666666667
agnews,2,0.25,0.6266666666666667
agnews,4,0.3933333333333333,0.6
agnews,6,0.25333333333333335,0.53
agnews,8,0.45666666666666667,0.5366666666666666
dbpedia,0,0.13666666666666666,0.13666666666666666
dbpedia,2,0.3933333333333333,0.6466666666666666
dbpedia,4,0.26,0.7
dbpedia,6,0.39,0.61
dbpedia,8,0.27,0.6133333333333333
banking,0,0.14,0.10333333333333333
banking,2,0.11666666666666667,0.21666666666666667
banking,4,0.13333333333333333,0.24
banking,6,0.17333333333333334,0.23333333333333334
banking,8,0.13333333333333333,0.24666666666666667
